Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
Öl ATA322-4215-2004  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	I västra kyrkogårdsmurens utsida, 6 m S ingången till kyrkogården.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s		V			sten	kalksten	fragment av runsten	Funnet 2004 i västra kyrkogårdsmurens utsida.			
Öl ATA326-1087-2007  	Eketorp	Gräsgårds sn	Gräsgårds hd	Mörbylånga	SHM (31597:X13:1)	6241046.1542160			0809 (Gräsgård), 45 [objektid=10080900450001]			V/M			metall	brons	bleck	Funnet 1970. Runorna på sidan A läses från höger till vänster.			
Öl BN57 $ 	Sandby kyrkogård	Sandby sn	Möckleby hd	Mörbylånga		6272910.1551350			0863 (Sandby)			V	Pr4? [Gräslund muntligt]		sten		fragment av runsten			$=foto på Raä	http://kmb.raa.se/cocoon/bild/object_list_simple?query=ÖlNf1964%20Sandby&showthumbnails=true
Öl BN83 $ 	Klinta 3:2, 3:3 (nu 5:15)	Köpings sn	Slättbo hd	Borgholm	SHM (25840:59:3)	6306591.1556111			0834 (Köping), 59:3 [objektid=10083400590003]			V ca 950			metall	koppar	bleck			$=Gustavson 2004:66f	http://kulturarvsdata.se/shm/media/html/28805
Öl BN84  	Klinta 3:2, 3:3 (nu 5:15)	Köpings sn	Slättbo hd	Borgholm	SHM (25840:59:3)	6306591.1556111			0834 (Köping), 59:3 [objektid=10083400590003]			V ca 950			metall	koppar	bleck			Gustavson 2004:66f	http://kulturarvsdata.se/shm/media/html/28805
Öl Fv1911;274A $M 	Räpplinge kyrka	Räpplinge sn	Slättbo hd	Borgholm	SHM (14533:1)	6300510.1552460			0862 (Räpplinge)			M ca 1150			sten	kalksten	häll till eskilstunakista			http://fornvannen.se/pdf/1910talet/1911_205c.pdf; $=BN 81; ATA Dnr 430/37;39	http://kulturarvsdata.se/shm/media/html/24135
Öl Fv1911;274B $ 	Resmo kyrka	Resmo sn	Algutsrums hd	Mörbylånga	SHM (14533:2)	6268390.1539280			0858 (Resmo)			V	Pr3 [Gräslund muntligt]		sten	kalksten	runsten			http://fornvannen.se/pdf/1910talet/1911_205c.pdf; $=ATA Dnr 6852/68; $=BN 6	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl%20Fv1911%5c:275&showthumbnails=true
Öl Fv1911;274C  	Resmo kyrka	Resmo sn	Algutsrums hd	Mörbylånga	SHM (14533:3)	6268390.1539280			0858 (Resmo)			V	Pr3 - Pr4?		sten	glimmerskiffer	gravhäll, gavelhäll			http://fornvannen.se/pdf/1910talet/1911_205c.pdf; BN 7	http://kulturarvsdata.se/shm/media/html/24385
Öl Fv1917(2);27 $ 	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	SHM (15736)	6258229.1547014			0819 (Hulterstad)			V			sten		2 fragment av runsten	Separat paginering sist i Fv. Inga runor på fragmenten.		http://fornvannen.se/pdf/1910talet/1917_tillvaxten_b.pdf; $=Inventariehandlingar på SHM; BN 35	http://kulturarvsdata.se/shm/media/html/24351
Öl Fv1918(2);15 $ 	Borgholms slott (?)	Borgholm	Slättbo hd	Borgholm	SHM (15904:8)	6305200.1551150			0789 (Borgholm)			V?			sten		bryne	Separat paginering sist i Fv. Nilsson (§P) har samma läsning som Fv 1918, Helmfrid (§Q) saknar tolkning, von Friesen (§R o §S) har två tolkningar, r. 9 har i hans avritning en halv hst och en streckad bst upp till höger, runan kan läsas k, r. 12 har en tydlig böjd bst till hö och ett kortare rakt streck upp till vä som ej hänger ihop med hst, runan kan läsas m eller k.		http://fornvannen.se/pdf/1910talet/1918_tillvaxten.pdf; §P: $=BN 176; §Q: $=ATA Dnr 430/37;42; §R: $=F7;35A; §S: $=F7;35B, F7=O. von Friesens anteckningsbok VII	
Öl Fv1972;266 M 	Borgs kyrkoruin	Räpplinge sn	Slättbo hd	Borgholm	SHM	6305149.1551322	Funnen på ursprunglig plats.		0862 (Räpplinge), 197 [objektid=10086201970001]			M s 1200-t			sten	rödaktig kalksten	gravhäll	Prydd med akantusranka och en yxa.		http://fornvannen.se/pdf/1970talet/1972_254.pdf; BN 82	
Öl Fv1972;268 M 	Gärdslösa kyrka	Gärdslösa sn	Runstens hd	Borgholm	S. korsarmens v. mur.	6296674.1556961	ja		0813 (Gärdslösa), 79 [objektid=10081300790001]			M efter 1250			puts	kalkputs	putsinskrift			http://fornvannen.se/pdf/1970talet/1972_254.pdf; BN 78	
Öl Fv1973;202 M 	Solberga 4:11, Hamnbassängen, Köpingsvik	Köpings sn	Slättbo hd	Borgholm	SHM	6306200.1555350			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			M			ben/horn	nötkreatur	runben, revben	Fyndnr 228.		http://fornvannen.se/pdf/1970talet/1973_185.pdf; BN 85; Gustavson 2004:67	
Öl Fv1973;203 $ 	Solberga 4:11, Hamnbassängen, Köpingsvik	Köpings sn	Slättbo hd	Borgholm		6306200.1555350			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			V/M			ben/horn	ben	runben, revben	Fyndnr 1155.		http://fornvannen.se/pdf/1970talet/1973_185.pdf; $=Gustavson 2004:67	
Öl Fv1974;214 M? 	Solberga 4:4	Köpings sn	Slättbo hd	Borgholm		6306250.1555625			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			M?			ben/horn	nötkreatur	runben, revben	Fyndnr 622.		http://fornvannen.se/pdf/1970talet/1974_208.pdf; Gustavson 2004:68	
Öl Fv1976;96A $ 	Solberga 4:11, Köpingsvik	Köpings sn	Slättbo hd	Borgholm		6306200.1555350			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			V/M			metall	koppar	bleck	"Fyndnr 1413. Hör samman med Öl Fv1976;96B. Endast tolkningen av inledningen är införd här. Gustavson (2004:64 f.) ger följande tolkning ""Krist och Sankta Maria hjälpe / dig, Olov. Hjälp ringar och läkebleck(?). Från dig (må) den naturvidriga jätten (försvinna), Olov, och den vrålande tursen för alltid."""		$=Gustavson 2004:64f; $=Material på Runverket, Raä	
Öl Fv1976;96B $ 	Solberga 4:11, Köpingsvik	Köpings sn	Slättbo hd	Borgholm		6306200.1555350			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			V/M			metall	koppar	bleck	"Fyndnr 1413. Hör samman med Öl Fv1976;96A. Gustavson (2004:65) ger följande möjliga tolkning av framsidan på blecket ""Jag bringar den trehövdade tursen den jordsölade, från mannens kvinna. Jag sejdar honom dit (där han hör hemma)."" Avslutningen på bleckets baksida tolkas ""Må han sluta sin färd in i elden!""."		Gustavson 2004:65; $=Material på Runverket, Raä	
Öl KALM1982;57  	Mörbylånga kyrka	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265950.1536501		6265950.1536502	0849 (Mörbylånga), 46:2 (fyndplats) [objektid=10084900460002], 46:1 (nuv. plats) [objektid=10084900460001]			V			sten	ljusgrå kalksten	runsten			BN 18	
Öl KLM22910  	Sandby kyrkogård	Sandby sn	Möckleby hd	Mörbylånga	Kalmar läns museum (KLM 22910), försvunnet.	6272910.1551350			0863 (Sandby)			V			sten	kalksten	fragment av runsten	Funnet vid rivning av ladugårdsvägg omedelbart Ö om kyrkogården. Kan inte återfinnas i museisamlingarna.			
Öl Köping1  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	I tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten			ATA Dnr 3430/57 nr 69; BN 161	
Öl Köping2  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	I vapenhuset.	6306083.1555664			0834 (Köping), 171:1 [objektid=10083401710001]			V			sten	brunviolett kalksten	fragment av runsten			ATA Dnr 3937/75; BN 163	
Öl Köping3  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15893), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	gråaktig kalksten	fragment av runsten			ATA Dnr 2056/75; BN 109	http://kulturarvsdata.se/shm/media/html/40659
Öl Köping5  	Köpings kyrkogård	Köpings sn	Slättbo hd	Borgholm	I tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	gråvit sandsten	gavelhäll till kista	Hör ihop med Öl 47.		ATA Dnr 3430/57 nr 67; BN 165	
Öl Köping7  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	I tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	runsten			ATA Dnr 3430/57 nr 66; BN 160	
Öl Köping8  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:38), deponerad, i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röda runor, svarta ramlinjer och ornamentik.		ATA Dnr 3430/57 nr 62; BN 156	
Öl Köping9  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (17565:6(9)), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	kalksten	fragment av runsten		Öl ATA2056/75A	ATA Dnr 2056/75	http://kulturarvsdata.se/shm/media/html/40664
Öl Köping10  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:37), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s		V			sten	brunviolett kalksten	fragment av runsten	Färgspår: vita runor, svarta ramlinjer.		ATA Dnr 3430/57 nr 58; BN 155	
Öl Köping11  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:15), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	rödaktig kalksten	fragment av runsten	Reliefhuggen, endast ornamentik bevarad, färgspår: svart yta.		ATA Dnr 3430/57 nr 55; ATA Dnr 2056/75; BN 107	
Öl Köping12  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:36), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röda runor, svarta ramlinjer.		ATA Dnr 3430/57 nr 53; BN 154	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014031
Öl Köping13  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:6), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten			ATA Dnr 3430/57 nr 63; BN 98	
Öl Köping14  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:8), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten			ATA Dnr 3430/57 nr 61; BN 100	
Öl Köping15  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339A), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Endast ornamentik bevarad.		ATA Dnr 3430/57 nr 2; BN 157	
Öl Köping16  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:9), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	fragment av runsten			ATA Dnr 3430/57 nr 19; BN 101	
Öl Köping17  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339B), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, färgspår: svart yta, rött runband.		ATA Dnr 3430/57 nr 4; BN 158	
Öl Köping18  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:2), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen.		ATA Dnr 3430/57 nr 5; BN 120	
Öl Köping19  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:3), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	fragment av runsten	Endast ornamentik på detta fragment.		ATA Dnr 3430/57 nr 6; BN 121	
Öl Köping20  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:4), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	fragment av runsten			ATA Dnr 3430/57 nr 7; BN 122	
Öl Köping21  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:1), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	fragment av runsten			ATA Dnr 3430/57 nr 8; BN 93	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014034
Öl Köping22  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:5), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röda och svarta runor.		ATA Dnr 3430/57 nr 9; BN 123	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014046
Öl Köping23  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (17565:2), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s		V			sten	grå kalksten	fragment av runsten	Färgspår: svarta runor och ramlinjer, rött i runbandet.		ATA Dnr 3430/57 nr 10; BN 111	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014033
Öl Köping24  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:6), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	violettbrun kalksten	fragment av runsten	Reliefhuggen, endast ornamentik bevarad. Ytan svartmålad, figurerna röda med vit färg under.		ATA Dnr 3430/57 nr 11; BN 124	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014024
Öl Köping25  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:7), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, endast ornamentik bevarad, färgspår: svart yta och röd yttercirkel.		ATA Dnr 3430/57 nr 12; BN 125	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014029
Öl Köping26  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:12), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen.		ATA Dnr 3430/57 nr 15; BN 104	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014025
Öl Köping27  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:2, 15535:5) deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	stuprunor		V			sten	brunviolett kalksten	3 fragment av runsten	Reliefhuggen, yta svart och röd, svart färg i runorna.		ATA Dnr 3437/57 nr 14 & 29; BN 94, 97	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014023
Öl Köping28  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (17565:8), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	röd kalksten	fragment av runsten			ATA Dnr 3430/57 nr 16; BN 112	http://kulturarvsdata.se/shm/media/html/40665
Öl Köping29  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:4), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s		V			sten	grå kalksten	fragment av runsten			ATA Dnr 3430/57 nr 17; BN 96	
Öl Köping30  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:9), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s, stuprunor		V			sten	rödbrun kalksten	fragment av runsten	Reliefhuggen.		ATA Dnr 3430/57 nr 18; BN 127	
Öl Köping31  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (17565:4(1)), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, endast ornamentik bevarad.		ATA Dnr 3430/57 nr 3; BN 110	http://kulturarvsdata.se/shm/media/html/40664
Öl Köping32  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:6(7), 25339:10), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	fragment av runsten	Reliefhuggen svart färg på ytan.		ATA Dnr 3430/57 nr 20; BN 108, 128	
Öl Köping33  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:11), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	blågrå kalksten	fragment av runsten			ATA Dnr 3430/57 nr 21; BN 129	
Öl Köping34  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:12), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten			ATA Dnr 3430/57 nr 22; BN 130	
Öl Köping35  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:14), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röd ornamentik, svart ramlinje.		ATA Dnr 3430/57 nr 24; BN 132	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014027
Öl Köping36  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:13), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, färgspår: röda runor, ytan svart och röd.		ATA Dnr 3430/57 nr 23; BN 131	
Öl Köping37  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:13(18)), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	rödbrun kalksten	fragment av runsten	Reliefhuggen, färgspår: yta och runor svarta.		ATA Dnr 3430/57 nr 25; BN 105	
Öl Köping38  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:15), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, färgspår: ytor svarta, röda slingor, runor röda och svarta. Samma som gjort Öl Köping39.		ATA Dnr 3430/57 nr 26; BN 133	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014044
Öl Köping39  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:16), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, färgspår: ytor svarta, röda slingor, runor svarta och vita. Samma som gjort Öl Köping38.		ATA Dnr 3430/57 nr 27; BN 134	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014018
Öl Köping40  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:17), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, färgspår: ytan svart, ornamentik & runband röda, runor svarta.		ATA Dnr 3430/57 nr 28; BN 135	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014037
Öl Köping41  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:18), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: svarta runor, rött ormhuvud.		ATA Dnr 3430/57 nr 30; BN 136	
Öl Köping42  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:19), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	2 fragment av runsten	Endast ornamentik bevarad, färgspår: röd ornamentik.		ATA Dnr 3430/57 nr 31; BN 137	
Öl Köping43  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:20), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	grå kalksten	fragment av runsten	Endast ornamentik bevarad.		ATA Dnr 3430/57 nr 32; BN 138	
Öl Köping44  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:21), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Ev. svart färg i ramlinjerna.		ATA Dnr 3430/57 nr 33; BN 139	
Öl Köping45  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (15535:11), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s		V			sten	brunviolett kalksten	fragment av runsten	Reliefhuggen, svart färg på ytan och i runor.		ATA Dnr 3430/57 nr 34; BN 103	
Öl Köping46  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:22), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	gråaktig kalksten	fragment av runsten			ATA Dnr 3430/57 nr 35; BN 140	
Öl Köping47  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:23), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röda runor, svarta ramlinjer.		ATA Dnr 3430/57 nr 36; BN 141	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014043
Öl Köping48  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (17565:1(4)), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	gråbrun kalksten	fragment av runsten	Reliefhuggen, färgspår på ytan, svarta runor.		ATA Dnr 3430/57 nr 37; BN 113	http://kulturarvsdata.se/shm/media/html/40663
Öl Köping49  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339C), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-s		V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röda runor, svarta skiljetecken, ramlinjer och ornamentik.		ATA Dnr 3430/57 nr 38; BN 159	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014042
Öl Köping50  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (25339:24), deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V			sten	brunviolett kalksten	fragment av runsten	Färgspår: röda runor och ornamentslinjer.		ATA Dnr 3430/57 nr 39; BN 142	http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014035
Öl Köping51  	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	SHM (17565:5), deponerad i tornet.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]	kortkvist-R		V			sten	gråröd kalksten	fragment av runsten			ATA Dnr 3430/57 nr 40; BN 114	http://kulturarvsdata.se/shm/media/html/40664
